<<<<<<< HEAD
company,total_layoffs,impacted_workforce_percentage,reported_date,industry,headquarter_location,sources,status,additional_notes
Groupon,500,15,8/8/2022,"ecommerce, retail",Chicago,TechCrunch,Public,
Lyft,760,15,11/3/2022,Transportation,San Francisco,WSJ,Public,
Baakt,Unclear,15,12/8/2022,Cryptocurrency,"Alpharetta, GA",Baakt,Public,
ThredUp,Unclear,15,8/15/2022,"E-commerce, fashion","Oakland, CA",Retail Dive,Public,
Limeade,Unclear,15,1/11/2023,"Employee Benefits, HR Tech","Bellevue, WA",GeekWire,Public,
GoodRx,140,16,8/31/2022,"Health care, pharmaceuticals",Los Angeles,Seeking Alpha,Public,
Astra,Unclear,16,11/8/2022,"aerospace, space","Alameda, CA",Astra CEO,Public,
Enjoy,400,18,6/30/2022,"E-commerce, Delivery",Palo Alto,Bloomberg,Public,
Opendoor,550,18,11/2/2022,Proptech,San Francisco,Opendoor CEO,Public,
Redfin,1332,19,11/9/2022,PropTech,Seattle,Bloomberg,Public,
Snap,1280,20,8/31/2022,Social media,"Venice, CA",The Verge,Public,
Pluralsight,400,20,12/12/2022,"EdTech, IT","Draper, UT",Pluralsight,Public,
Metromile,60,20,7/29/2022,"Insurtech, transportation",San Francisco,Crunchbase,Public,
GoHealth,800,20,8/11/2022,"health care, health insurance",Chicago,Chicago Sun Times,Public,
Sezzle,Unclear,20,3/10/2022,Fintech,Minneapolis,Reuters,Public,
Pagaya,Unclear,20,1/18/2023,"Fintech, AI",New York,Reuters,Public,
2U,Unclear,20,8/1/2022,Edtech,"Hyattsville, MD",Inside Higher Ed,Public,
Leafly,56,21,10/18/2022,Cannabis,Seattle,Leafly,Public,
Sonder,Unclear,21,6/10/2022,Hospitality,San Francisco,MarketWatch,Public,
Bird,138,23,6/7/2022,Transporation,Santa Monica,TechCrunch,Public,
Rent the Runway,Unclear,24,9/12/2022,"e-commerce, retail",New York,Wall Street Journal,Public,
TuSimple,350,25,12/21/2022,"electric vehicle, transportation",San Diego,TechCrunch,Public,
Qualtrics,Unclear,25,1/11/2023,"SaaS, enterprise software","Provo, UT",MarketWatch,Public,
PayPal,83,27,5/23/2022,Fintech,San Jose,The Information,Public,
Blend,Unclear,28,1/10/2023,"Fintech, proptech",San Francisco,Inman,Public,
Juul,400,30,11/10/2022,"consumer goods, vape pens",San Francisco,CNBC,Public,
Akili Interactive Labs,46,30,1/12/2023,Health care,Boston,Behavioral Health Business,Public,
Robinhood,1013,33,8/2/2022,Fintech,Menlo Park,Robinhood,Public,
Playtika,250,33,5/31/2022,Gaming,Tel Aviv,Globes,Public,"Closing studios in London, Montreal, and Los Angeles. Layoffs affected around 33% of employees."
Vroom,647,33,8/8/2022,"Auto, E-commerce",New York,Automotive News,Public,
Stitch Fix,Unclear,35,1/5/2023,"Ecommerce, Fashion",San Francisco,CNBC,Public,
Latch,115,37,8/2/2022,PropTech,"New York, NY",Latch,Public,
Sema4,750,39,11/14/2022,"AI, health care","Stamford, CT",MarketWatch,Public,
Root Insurance,467,40,11/9/2022,InsurTech,Columbus,Columbus Dispatch,Public,
Coinbase,2110,43,1/10/2023,Crypto,San Francisco,CNBC,Public,
Volta Charging,Unclear,54,10/21/2022,"Automotive, electric vehicles",San Francisco,Volta,Public,
Twitter,3740,70,1/5/2023,Social Media,San Francisco,The Information,Public,
Starry,Unclear,74,1/18/2023,"WiFi, hardware",Boston,SEC filings,Public,
RingCentral,80,Unclear,1/17/2023,"SaaS, meeting software","Belmont, CA",Barron's,Public,
Carvana,4000,Unclear,1/13/2023,"Automotive, Ecommerce",Tempe,WSJ,Public,
Adobe,100,Unclear,12/6/2022,"Marketing, software, SaaS","San Jose, CA",Bloomberg,Public,
Invitae,1000,Unclear,7/18/2022,"Health Care, Biotech",San Francisco,GenomeWeb,Public,
Microsoft,10000,Unclear,1/18/2023,Enterprise Software,Seattle,Microsoft,Public,
Alphabet,12000,Unclear,1/20/2023,"Big tech, internet services","Mountain View, CA",CNBC,Public,
Qualcomm,153,Unclear,12/22/2022,"Telecommunication, wireless",San Diego,San Diego Union-Tribune,Public,
Okta,24,Unclear,8/26/2022,"Enterprise software, Management information systems",San Francisco,Unleash,Public,
Beyond Meat,240,Unclear,10/14/2022,Foodtech,"Manhattan Beach, CA",CNBC,Public,
WeWork,300,Unclear,1/19/2023,"Real Estate, PropTech",New York,WeWork,Public,
Peloton,4084,Unclear,10/6/2022,Fitness,New York,CNBC,Public,"Peloton previously laid off 3,584 in February"
UiPath,451,Unclear,11/15/2022,Artificial Intelligence,New York,MarketWatch,Public,
Netflix,480,Unclear,9/14/2022,Media/entertainment,Los Gatos,Deadline,Public,
Cue,558,Unclear,1/5/2023,Health Care,San Diego,360dx,Public,
Warby Parker,63,Unclear,8/8/2022,"Ecommerce, Fashion",New York City,Insider,Public,
HashiCorp,69,Unclear,1/11/2023,"cybersecurity, cloud infrastructure",San Francisco,Crunchbase News Reporting,Public,
Quanergy Systems,72,Unclear,12/14/2022,Autonomous vehicles,"Sunnyvale, CA",Silicon Valley Business Journal,Public,
Doma,825,Unclear,12/6/2022,"Insurtech, machine learning",San Francsico,Doma,Public,The company previously laid off workers in May.
Wayfair,870,Unclear,8/19/2022,"E-commerce, retail",Boston,Boston Globe,Public,
Salesforce,9090,Unclear,1/4/2023,"enterprise tech, analytics",San Francisco,New York Times,Public,
Oracle,Unclear,Unclear,8/1/2022,"SaaS, enterprise software",Austin,The Information,Public,The Information reported thousands of people would be laid off
LivePerson,Unclear,Unclear,9/15/2022,Customer service,New York,LinkedIn,Public,
Skillz,Unclear,Unclear,8/29/2022,"Mobile Apps, Gaming",San Francisco,Seeking Alpha,Public,
Blueboard,Unclear,Unclear,11/3/2022,Enterprise Software,San Francisco,LinkedIn reports,Private,
>>>>>>> 6e4cbc49a4bc9cfc43bcbe959e3d26e5b730e223
